Density,Replicate,day,number surviving to day x,number of eggs on day x
5,2,127,2,
5,2,129,2,3
5,2,131,2,28
5,2,133,2,4
5,2,135,2,
5,2,137,2,27
5,2,139,2,
5,2,141,2,
5,2,143,2,13
5,2,145,2,14
5,2,147,2,
5,2,149,1,
5,2,153,1,
5,2,155,1,3
5,3,0,24,
5,3,15,10,
5,3,22,9,
5,3,28,8,
5,3,30,8,
5,3,32,8,
5,3,34,8,
5,3,36,8,12
5,3,38,8,42
5,3,40,8,
5,3,42,8,
5,3,44,8,
5,3,46,7,
5,3,48,7,
5,3,50,7,25
5,3,52,7,
5,3,54,7,
5,3,56,7,
5,3,58,7,
5,3,60,7,2
5,3,62,7,
5,3,64,7,
5,3,66,7,
5,3,68,7,
5,3,70,7,
5,3,72,7,
5,3,74,7,
5,3,76,7,19
5,3,79,7,68
5,3,81,7,33
5,3,83,7,
5,3,85,7,19
5,3,87,7,
5,3,89,7,
5,3,91,7,
5,3,93,7,16
5,3,95,7,
5,3,97,7,12
5,3,99,7,
5,3,101,7,
5,3,103,6,
5,3,105,5,
5,3,107,5,
5,3,109,4,
5,3,111,4,
5,3,113,4,
5,3,115,4,
5,3,117,4,
5,3,119,4,
5,3,121,4,
5,3,123,4,
5,3,125,4,
5,3,127,3,
5,3,129,2,
5,3,131,2,
5,3,133,2,23
5,3,135,2,8
5,3,137,2,
5,3,139,2,
5,3,141,1,
5,3,143,1,
5,3,145,1,
5,3,147,1,2
5,3,180,1,
5,3,215,1,
5,4,0,24,
5,4,23,14,
5,4,25,13,
5,4,27,12,
5,4,28,11,
5,4,30,11,22
5,4,32,9,19
5,4,34,9,61
5,4,36,9,
5,4,38,8,31
5,4,40,8,36
5,4,42,8,37
5,4,44,8,
5,4,46,8,48
5,4,48,7,
5,4,50,7,
5,4,52,7,
5,4,54,7,64
5,4,56,7,39
